actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
132,PT02M39.00S,1,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,96
133,PT02M39.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,SUB: Edwards FOR George,Substitution,,0,0,97
135,PT02M39.00S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,24,15,39,v,Barlow Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,98
136,PT02M39.00S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,24,16,40,v,Barlow Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,99
138,PT02M18.00S,1,1610612738,BOS,1630202,Pritchard,P. Pritchard,107,-6,11,Missed,1,,,0,h,MISS Pritchard 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,100
139,PT02M17.00S,1,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,0,0,101
141,PT02M04.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,-28,154,16,Made,1,26,16,42,h,Tatum 16' Pullup Jump Shot (8 PTS) (Vucevic 2 AST),Made Shot,Pullup Jump shot,1,2,102
143,PT01M43.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,9,32,3,Made,1,26,18,44,v,Oubre Jr. 3' Driving Dunk (2 PTS) (Maxey 1 AST),Made Shot,Driving Dunk Shot,1,2,103
146,PT01M19.00S,1,1610612738,BOS,1630202,Pritchard,P. Pritchard,-29,277,28,Made,1,29,18,47,h,Pritchard 28' 3PT Step Back Jump Shot (5 PTS),Made Shot,Step Back Jump shot,1,3,104
147,PT01M02.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,120,225,26,Missed,1,,,0,v,MISS Maxey 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,105
148,PT00M59.00S,1,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,106
149,PT00M51.80S,1,1610612738,BOS,1628369,Tatum,J. Tatum,-9,5,1,Made,1,31,18,49,h,Tatum 1' Driving Dunk (10 PTS),Made Shot,Driving Dunk Shot,1,2,107
150,PT00M39.70S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-31,59,7,Missed,1,,,0,v,MISS Maxey 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,108
151,PT00M38.30S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,,,0,v,Barlow REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,109
152,PT00M38.30S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,Missed,1,,,0,v,MISS Barlow Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,110
153,PT00M36.80S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum REBOUND (Off:0 Def:6),Rebound,Unknown,1,0,111
