actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
212,PT09M36.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,40.0,25.0,0,v,George REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,149,25-40,25-40,15.0,1,False,0.0,0.0,,0.0
213,PT09M20.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,239,32,24,Missed,1,40.0,25.0,0,v,MISS Drummond 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,150,25-40,25-40,15.0,1,False,0.0,0.0,,0.0
214,PT09M19.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,40.0,25.0,0,h,Hauser REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,151,25-40,25-40,15.0,1,False,0.0,0.0,,0.0
215,PT08M59.00S,2,1610612738,BOS,1627759,Brown,J. Brown,2,15,2,Made,1,42.0,25.0,67,h,Brown 2' Driving Dunk (6 PTS),Made Shot,Driving Dunk Shot,1,2,152,25-42,25-40,17.0,1,False,2.0,0.0,HOME,2.0
216,PT08M44.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-11,46,5,Missed,1,42.0,25.0,0,v,MISS Edwards 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,153,25-42,25-42,17.0,1,False,0.0,0.0,,0.0
217,PT08M43.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,42.0,25.0,0,v,Edwards REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,154,25-42,25-42,17.0,1,False,0.0,0.0,,0.0
218,PT08M43.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,Made,1,42.0,27.0,69,v,Edwards Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,1,2,155,27-42,25-42,15.0,1,False,0.0,2.0,AWAY,2.0
219,PT08M43.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,42.0,27.0,0,h,Garza S.FOUL (P2.T3) (P.Fraher),Foul,Shooting,1,0,156,27-42,27-42,15.0,1,False,0.0,0.0,,0.0
221,PT08M43.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,42.0,27.0,0,h,SUB: White FOR Garza,Substitution,,0,0,157,27-42,27-42,15.0,1,False,0.0,0.0,,0.0
222,PT08M43.00S,2,1610612738,BOS,1631248,Scheierman,B. Scheierman,0,0,0,,0,42.0,27.0,0,h,SUB: Queta FOR Scheierman,Substitution,,0,0,158,27-42,27-42,15.0,1,False,0.0,0.0,,0.0
