actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
283,PT04M39.00S,2,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,54.0,33.0,0,h,Queta S.FOUL (P3.T4) (P.Fraher),Foul,Shooting,1,0,206,33-54,33-54,21.0,1,False,0.0,0.0,,0.0
285,PT04M39.00S,2,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,54.0,33.0,0,h,SUB: Vucevic FOR Queta,Substitution,,0,0,207,33-54,33-54,21.0,1,False,0.0,0.0,,0.0
287,PT04M39.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,54.0,33.0,0,v,MISS Oubre Jr. Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,208,33-54,33-54,21.0,1,False,0.0,0.0,,0.0
288,PT04M37.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,54.0,33.0,0,h,Vucevic REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,209,33-54,33-54,21.0,1,False,0.0,0.0,,0.0
291,PT04M22.00S,2,1610612738,BOS,1628401,White,D. White,26,8,3,Made,1,56.0,33.0,89,h,White 3' Driving Layup (5 PTS) (Vucevic 3 AST),Made Shot,Driving Layup Shot,1,2,210,33-56,33-54,23.0,1,False,2.0,0.0,HOME,2.0
292,PT04M11.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,7,29,3,Missed,1,56.0,33.0,0,v,MISS Edgecombe 3' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,2,211,33-56,33-56,23.0,1,False,0.0,0.0,,0.0
293,PT04M10.00S,2,0,,1610612755,,,0,0,0,,0,56.0,33.0,0,v,76ers Rebound,Rebound,Unknown,0,0,212,33-56,33-56,23.0,1,False,0.0,0.0,,0.0
294,PT04M10.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,56.0,33.0,0,h,Pritchard L.B.FOUL (P1.PN) (T.Maddox),Foul,Loose Ball,1,0,213,33-56,33-56,23.0,1,False,0.0,0.0,,0.0
296,PT04M10.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,56.0,33.0,0,v,MISS Bona Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,214,33-56,33-56,23.0,1,False,0.0,0.0,,0.0
297,PT04M10.00S,2,0,,1610612755,,,0,0,0,,0,56.0,33.0,0,v,76ers Rebound,Rebound,Normal Rebound,1,0,215,33-56,33-56,23.0,1,False,0.0,0.0,,0.0
298,PT04M10.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,56.0,34.0,90,v,Bona Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,1,0,216,34-56,33-56,22.0,1,False,0.0,1.0,AWAY,1.0
299,PT03M57.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,176,186,26,Missed,1,56.0,34.0,0,h,MISS Vucevic 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,217,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
300,PT03M56.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,56.0,34.0,0,v,Oubre Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,218,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
301,PT03M43.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,-192,169,26,Missed,1,56.0,34.0,0,v,MISS Maxey 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,219,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
302,PT03M41.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,56.0,34.0,0,v,Edgecombe REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,220,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
303,PT03M37.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,37,4,4,Missed,1,56.0,34.0,0,v,MISS Maxey 4' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,2,221,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
305,PT03M36.00S,2,0,,1610612738,,,0,0,0,,0,56.0,34.0,0,h,CELTICS Rebound,Rebound,Unknown,0,0,222,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
439,PT03M17.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,56.0,34.0,0,h,Vucevic Lost Ball Turnover (P2.T5),Turnover,Lost Ball,1,0,223,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
439,PT03M17.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,56.0,34.0,0,v,Edgecombe STEAL (2 STL),,,1,0,224,34-56,34-56,22.0,1,False,0.0,0.0,,0.0
309,PT03M08.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,-2,-8,1,Made,1,56.0,36.0,92,v,Maxey 1' Running Layup (11 PTS),Made Shot,Running Layup Shot,1,2,225,36-56,34-56,20.0,1,False,0.0,2.0,AWAY,2.0
310,PT02M47.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,56.0,36.0,0,v,George P.FOUL (P1.PN) (S.Foster),Foul,Personal,1,0,226,36-56,36-56,20.0,1,False,0.0,0.0,,0.0
312,PT02M47.00S,2,0,,1610612755,,,0,0,0,,0,56.0,36.0,0,v,76ers Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,227,36-56,36-56,20.0,1,False,0.0,0.0,,0.0
315,PT02M47.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,56.0,36.0,0,h,SUB: Hauser FOR Brown,Substitution,,0,0,228,36-56,36-56,20.0,1,False,0.0,0.0,,0.0
317,PT02M47.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,57.0,36.0,93,h,Tatum Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,1,0,229,36-57,36-56,21.0,1,False,1.0,0.0,HOME,1.0
318,PT02M47.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,58.0,36.0,94,h,Tatum Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,1,0,230,36-58,36-57,22.0,1,False,1.0,0.0,HOME,2.0
319,PT02M40.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,58,69,9,Missed,1,58.0,36.0,0,v,MISS Edgecombe 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,231,36-58,36-58,22.0,1,False,0.0,0.0,,0.0
320,PT02M39.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,58.0,36.0,0,v,Edgecombe REBOUND (Off:3 Def:0),Rebound,Unknown,1,0,232,36-58,36-58,22.0,1,False,0.0,0.0,,0.0
321,PT02M38.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,Made,1,58.0,38.0,96,v,Edgecombe Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,1,2,233,38-58,36-58,20.0,1,False,0.0,2.0,AWAY,2.0
322,PT02M38.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,58.0,38.0,0,h,Vucevic S.FOUL (P3.PN) (T.Maddox),Foul,Shooting,1,0,234,38-58,38-58,20.0,1,False,0.0,0.0,,0.0
324,PT02M38.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,58.0,39.0,97,v,Edgecombe Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,1,0,235,39-58,38-58,19.0,1,False,0.0,1.0,AWAY,1.0
325,PT02M23.00S,2,1610612738,BOS,1628401,White,D. White,-92,265,28,Missed,1,58.0,39.0,0,h,MISS White 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,236,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
326,PT02M19.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,58.0,39.0,0,v,George REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,237,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
327,PT02M11.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,13,44,5,Missed,1,58.0,39.0,0,v,MISS Maxey 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,238,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
328,PT02M10.00S,2,0,,1610612755,,,0,0,0,,0,58.0,39.0,0,v,76ers Rebound,Rebound,Unknown,0,0,239,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
330,PT02M10.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,58.0,39.0,0,h,SUB: Garza FOR Vucevic,Substitution,,0,0,240,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
332,PT02M07.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,58.0,39.0,0,v,Maxey Bad Pass Turnover (P1.T8),Turnover,Bad Pass,1,0,241,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
332,PT02M07.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,58.0,39.0,0,h,Hauser STEAL (1 STL),,,1,0,242,39-58,39-58,19.0,1,False,0.0,0.0,,0.0
334,PT02M03.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,-6,18,2,Made,1,60.0,39.0,99,h,Tatum 2' Running Dunk (17 PTS) (Hauser 2 AST),Made Shot,Running Dunk Shot,1,2,243,39-60,39-58,21.0,1,False,2.0,0.0,HOME,2.0
336,PT01M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,39,74,8,Made,1,60.0,41.0,101,v,Maxey 8' Driving Floating Jump Shot (13 PTS) (Edgecombe 2 AST),Made Shot,Driving Floating Jump Shot,1,2,244,41-60,39-60,19.0,1,False,0.0,2.0,AWAY,2.0
338,PT01M50.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,60.0,41.0,0,h,Hauser S.FOUL (P1.PN) (P.Fraher),Foul,Shooting,1,0,245,41-60,41-60,19.0,1,False,0.0,0.0,,0.0
340,PT01M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,60.0,42.0,102,v,Maxey Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,1,0,246,42-60,41-60,18.0,1,False,0.0,1.0,AWAY,1.0
344,PT01M50.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,60.0,42.0,0,h,SUB: Brown FOR Pritchard,Substitution,,0,0,247,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
341,PT01M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,60.0,42.0,0,h,Brown OFF.Foul (P3) (S.Foster),Foul,Offensive,1,0,248,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
343,PT01M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,60.0,42.0,0,h,Brown Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,1,0,249,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
346,PT01M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,60.0,42.0,0,h,SUB: Pritchard FOR Brown,Substitution,,0,0,250,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
348,PT01M26.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,158,210,26,Missed,1,60.0,42.0,0,v,MISS Edgecombe 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,251,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
349,PT01M23.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,60.0,42.0,0,h,Hauser REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,252,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
350,PT01M14.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,60.0,42.0,0,v,Bona P.FOUL (P3.PN) (T.Maddox),Foul,Personal,1,0,253,42-60,42-60,18.0,1,False,0.0,0.0,,0.0
352,PT01M14.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,61.0,42.0,103,h,Tatum Free Throw 1 of 2 (18 PTS),Free Throw,Free Throw 1 of 2,1,0,254,42-61,42-60,19.0,1,False,1.0,0.0,HOME,1.0
353,PT01M14.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,61.0,42.0,0,v,SUB: Drummond FOR Bona,Substitution,,0,0,255,42-61,42-61,19.0,1,False,0.0,0.0,,0.0
355,PT01M14.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,62.0,42.0,104,h,Tatum Free Throw 2 of 2 (19 PTS),Free Throw,Free Throw 2 of 2,1,0,256,42-62,42-61,20.0,1,False,1.0,0.0,HOME,1.0
356,PT00M59.60S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,66,66,9,Made,1,62.0,44.0,106,v,Edgecombe 9' Driving Floating Jump Shot (7 PTS) (Maxey 4 AST),Made Shot,Driving Floating Jump Shot,1,2,257,44-62,42-62,18.0,1,False,0.0,2.0,AWAY,2.0
358,PT00M41.20S,2,1610612738,BOS,1628369,Tatum,J. Tatum,153,211,26,Missed,1,62.0,44.0,0,h,MISS Tatum 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,258,44-62,44-62,18.0,1,False,0.0,0.0,,0.0
359,PT00M39.60S,2,0,,1610612755,,,0,0,0,,0,62.0,44.0,0,v,76ers Rebound,Rebound,Unknown,0,0,259,44-62,44-62,18.0,1,False,0.0,0.0,,0.0
361,PT00M32.70S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,62.0,44.0,0,v,Maxey Bad Pass Turnover (P2.T9),Turnover,Bad Pass,1,0,260,44-62,44-62,18.0,1,False,0.0,0.0,,0.0
361,PT00M32.70S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,62.0,44.0,0,h,Tatum STEAL (2 STL),,,1,0,261,44-62,44-62,18.0,1,False,0.0,0.0,,0.0
363,PT00M29.40S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,62.0,44.0,0,v,Edgecombe S.FOUL (P2.PN) (P.Fraher),Foul,Shooting,1,0,262,44-62,44-62,18.0,1,False,0.0,0.0,,0.0
365,PT00M29.40S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,63.0,44.0,107,h,Tatum Free Throw 1 of 2 (20 PTS),Free Throw,Free Throw 1 of 2,1,0,263,44-63,44-62,19.0,1,False,1.0,0.0,HOME,1.0
366,PT00M29.40S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,64.0,44.0,108,h,Tatum Free Throw 2 of 2 (21 PTS),Free Throw,Free Throw 2 of 2,1,0,264,44-64,44-63,20.0,1,False,1.0,0.0,HOME,2.0
367,PT00M09.90S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,83,143,17,Made,1,64.0,46.0,110,v,Edgecombe 17' Turnaround Fadeaway (9 PTS) (Maxey 5 AST),Made Shot,Turnaround Fadeaway shot,1,2,265,46-64,44-64,18.0,1,False,0.0,2.0,AWAY,2.0
368,PT00M02.80S,2,1610612738,BOS,1630568,Garza,L. Garza,-61,254,26,Missed,1,64.0,46.0,0,h,MISS Garza 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,266,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
369,PT00M00.10S,2,0,,1610612738,,,0,0,0,,0,64.0,46.0,0,h,CELTICS Rebound,Rebound,Unknown,1,0,267,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
370,PT00M00.00S,2,0,,0,,,0,0,0,,0,64.0,46.0,110,,End of 2nd Period (2:19 PM EST),period,end,1,0,268,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
376,PT12M00.00S,3,0,,0,,,0,0,0,,0,64.0,46.0,110,,Start of 3rd Period (2:36 PM EST),period,start,1,0,269,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
377,PT11M45.00S,3,1610612738,BOS,1628401,White,D. White,81,68,11,Missed,1,64.0,46.0,0,h,MISS White 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,270,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
378,PT11M43.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,64.0,46.0,0,v,Drummond REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,271,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
379,PT11M32.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,27,157,16,Missed,1,64.0,46.0,0,v,MISS Maxey 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,272,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
380,PT11M31.00S,3,1610612738,BOS,1628401,White,D. White,0,0,0,,0,64.0,46.0,0,h,White REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,273,46-64,46-64,18.0,1,False,0.0,0.0,,0.0
381,PT11M17.00S,3,1610612738,BOS,1629674,Queta,N. Queta,-5,6,1,Made,1,66.0,46.0,112,h,Queta 1' Cutting Dunk Shot (9 PTS) (White 3 AST),Made Shot,Cutting Dunk Shot,1,2,274,46-66,46-64,20.0,1,False,2.0,0.0,HOME,2.0
383,PT10M52.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-11,28,3,Made,1,66.0,48.0,114,v,Oubre Jr. 3' Driving Finger Roll Layup (6 PTS) (Maxey 6 AST),Made Shot,Driving Finger Roll Layup Shot,1,2,275,48-66,46-66,18.0,1,False,0.0,2.0,AWAY,2.0
385,PT10M41.00S,3,1610612738,BOS,1628401,White,D. White,-54,24,6,Made,1,68.0,48.0,116,h,White 6' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,1,2,276,48-68,48-66,20.0,1,False,2.0,0.0,HOME,2.0
386,PT10M41.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,68.0,48.0,0,v,Maxey S.FOUL (P3.T1) (P.Fraher),Foul,Shooting,1,0,277,48-68,48-68,20.0,1,False,0.0,0.0,,0.0
388,PT10M41.00S,3,1610612738,BOS,1628401,White,D. White,0,0,0,,0,68.0,48.0,0,h,MISS White Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,278,48-68,48-68,20.0,1,False,0.0,0.0,,0.0
389,PT10M41.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,68.0,48.0,0,v,George REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,279,48-68,48-68,20.0,1,False,0.0,0.0,,0.0
390,PT10M25.00S,3,1610612755,PHI,202331,George,P. George,36,20,4,Made,1,68.0,50.0,118,v,George 4' Driving Reverse Layup (11 PTS),Made Shot,Driving Reverse Layup Shot,1,2,280,50-68,48-68,18.0,1,False,0.0,2.0,AWAY,2.0
391,PT10M25.00S,3,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,68.0,50.0,0,h,Queta S.FOUL (P4.T1) (T.Maddox),Foul,Shooting,1,0,281,50-68,50-68,18.0,1,False,0.0,0.0,,0.0
393,PT10M25.00S,3,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,68.0,50.0,0,h,SUB: Vucevic FOR Queta,Substitution,,0,0,282,50-68,50-68,18.0,1,False,0.0,0.0,,0.0
395,PT10M25.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,68.0,51.0,119,v,George Free Throw 1 of 1 (12 PTS),Free Throw,Free Throw 1 of 1,1,0,283,51-68,50-68,17.0,1,False,0.0,1.0,AWAY,1.0
396,PT10M11.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,44,17,5,Missed,1,68.0,51.0,0,h,MISS Tatum 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,284,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
397,PT10M10.00S,3,0,,1610612755,,,0,0,0,,0,68.0,51.0,0,v,76ers Rebound,Rebound,Unknown,0,0,285,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
399,PT10M10.00S,3,0,,1610612738,,,0,0,0,,0,68.0,51.0,0,h,CELTICS Timeout: Regular (Full 3 Short 0),Timeout,Regular,0,0,286,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
400,PT10M10.00S,3,0,,398,,,0,0,0,,0,68.0,51.0,119,,Instant Replay3rd Period (2:41 PM EST),Instant Replay,Coach Challenge Ruling Stands,0,0,287,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
401,PT09M57.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,22,39,4,Missed,1,68.0,51.0,0,v,MISS Oubre Jr. 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,288,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
402,PT09M56.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,68.0,51.0,0,h,Tatum REBOUND (Off:0 Def:9),Rebound,Unknown,1,0,289,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
403,PT09M43.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,-93,58,11,Missed,1,68.0,51.0,0,h,MISS Vucevic 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,290,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
404,PT09M42.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,68.0,51.0,0,v,George REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,291,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
405,PT09M28.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,228,15,0,Missed,1,68.0,51.0,0,v,MISS Oubre Jr. 3PT Jump Shot,Missed Shot,Jump Shot,1,3,292,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
406,PT09M26.00S,3,0,,1610612755,,,0,0,0,,0,68.0,51.0,0,v,76ers Rebound,Rebound,Unknown,0,0,293,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
408,PT09M19.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,68.0,51.0,0,v,Edgecombe Traveling Turnover (P2.T10),Turnover,Traveling,1,0,294,51-68,51-68,17.0,1,False,0.0,0.0,,0.0
409,PT09M01.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-112,131,17,Made,1,70.0,51.0,121,h,Brown 17' Fadeaway Jumper (12 PTS),Made Shot,Fadeaway Jump Shot,1,2,295,51-70,51-68,19.0,1,False,2.0,0.0,HOME,2.0
410,PT08M39.00S,3,1610612755,PHI,202331,George,P. George,-157,217,27,Made,1,70.0,54.0,124,v,George 27' 3PT Step Back Jump Shot (15 PTS),Made Shot,Step Back Jump shot,1,3,296,54-70,51-70,16.0,1,False,0.0,3.0,AWAY,3.0
411,PT08M24.00S,3,1610612738,BOS,1628401,White,D. White,124,250,28,Made,1,73.0,54.0,127,h,White 28' 3PT Jump Shot (10 PTS) (Brown 3 AST),Made Shot,Jump Shot,1,3,297,54-73,54-70,19.0,1,False,3.0,0.0,HOME,3.0
413,PT08M02.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-38,113,12,Made,1,73.0,56.0,129,v,Edgecombe 12' Pullup Jump Shot (11 PTS) (Drummond 2 AST),Made Shot,Pullup Jump shot,1,2,298,56-73,54-73,17.0,1,False,0.0,2.0,AWAY,2.0
415,PT07M53.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,-71,247,26,Missed,1,73.0,56.0,0,h,MISS Tatum 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,299,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
416,PT07M52.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,73.0,56.0,0,v,Oubre Jr. REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,300,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
417,PT07M42.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,25,5,3,Missed,1,73.0,56.0,0,v,MISS Oubre Jr. 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,301,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
418,PT07M41.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,73.0,56.0,0,v,Oubre Jr. REBOUND (Off:1 Def:4),Rebound,Unknown,1,0,302,56-73,56-73,17.0,1,False,0.0,0.0,,0.0
419,PT07M41.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,Made,1,73.0,58.0,131,v,Oubre Jr. Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,1,2,303,58-73,56-73,15.0,1,False,0.0,2.0,AWAY,2.0
420,PT07M12.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,235,37,24,Missed,1,73.0,58.0,0,h,MISS Tatum 24' 3PT Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,3,304,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
421,PT07M12.00S,3,0,,1610612738,,,0,0,0,,0,73.0,58.0,0,h,CELTICS Rebound,Rebound,Unknown,1,0,305,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
422,PT07M12.00S,3,0,,1610612738,,,0,0,0,,0,73.0,58.0,0,h,CELTICS Turnover: Shot Clock (T#7),Turnover,Shot Clock Turnover,1,0,306,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
423,PT07M00.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-131,222,26,Missed,1,73.0,58.0,0,v,MISS Oubre Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,307,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
424,PT06M58.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,73.0,58.0,0,h,Vucevic REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,308,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
426,PT06M45.00S,3,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,73.0,58.0,0,h,SUB: Pritchard FOR Hauser,Substitution,,0,0,309,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
428,PT06M33.00S,3,1610612738,BOS,1627759,Brown,J. Brown,7,156,16,Missed,1,73.0,58.0,0,h,MISS Brown 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,310,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
429,PT06M32.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,73.0,58.0,0,v,Drummond REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,311,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
430,PT06M30.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,73.0,58.0,0,v,Drummond Bad Pass Turnover (P2.T11),Turnover,Bad Pass,1,0,312,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
430,PT06M30.00S,3,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,73.0,58.0,0,h,Brown STEAL (2 STL),,,1,0,313,58-73,58-73,15.0,1,False,0.0,0.0,,0.0
