game_id,local_path,status
0022400131,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400131.json'), True)",success
0022400130,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400130.json'), True)",success
0022400129,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400129.json'), True)",success
0022400128,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400128.json'), True)",success
0022400137,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400137.json'), True)",success
0022400133,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400133.json'), True)",success
0022400139,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400139.json'), True)",success
0022400132,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400132.json'), True)",success
0022400135,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400135.json'), True)",success
0022400136,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400136.json'), True)",success
0022400138,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400138.json'), True)",success
0022400134,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400134.json'), True)",success
0022400140,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400140.json'), True)",success
0022400150,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400150.json'), True)",success
0022400146,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400146.json'), True)",success
0022400141,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400141.json'), True)",success
0022400149,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400149.json'), True)",success
0022400142,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400142.json'), True)",success
0022400144,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400144.json'), True)",success
